civilization,ability
Ethiopian,Improved resource tiles receive +1  Faith for each copy of the resource the city owns. International  Trade Routes grant +5  Faith for each resource in the origin city. Can purchase Archaeologists and Archaeological Museums with Faith.
Roman,"Founded or conquered cities start with a Trading Post and, if within  Trade Route range of the  Capital, a road to it.  Trade Routes generate +1 additional  Gold from Roman Trading Posts they pass through."
Brazilian,"Rainforest tiles provide a +1 adjacency bonus for Campus, Commercial Hub, Holy Site, and Theater Square districts. Owned Rainforests provide +1 Appeal to adjacent tiles, instead of the usual -1."
English,Iron and Coal Mines accumulate +2 resources per turn. +100%  Production towards Military Engineers. Military Engineers receive +2 charges. Buildings that provide additional yields when powered receive +4 of their respective yields. +20%  Production towards Industrial Zone buildings. Harbor buildings grant +10 Strategic Resource stockpiles.
Portuguese,"International  Trade Routes can only be sent to cities on the coast or with a Harbor, but gain a +50% increase to all yields. Traders have +50% range over water, and can embark as soon as they are unlocked."
Indian,"Indian cities receive the Follower Beliefs of all religions with at least one follower in them, not just the majority religion, and gain +1  Amenity for each religion with at least one follower in them. +2 Spread Religion charges for Missionaries. +100% Religious pressure from Indian  Trade Routes."
Chinese,Eurekas and  Inspirations provide an extra 10% of the  Science and  Culture cost for researching technologies and civics. Completing a Wonder grants a  Eureka and  Inspiration from that Wonder's era.
Gran Colombian,+1  Movement for all units. Promoting a unit does not end that unit's turn.
Babylonian,Eurekas instantly unlock their respective technologies. -50%  Science per turn.
Sumerian,Capturing a Barbarian Outpost also grants a Tribal Village reward. Levying city-state units costs 50% less  Gold.
American,All  Diplomatic policy slots in the current government are converted to  Wildcard slots. +1  Diplomatic Favor per turn for each Wildcard slot in the current government.
Canadian,"Cannot declare Surprise Wars or war on city-states. Surprise Wars cannot be declared on Canada. For every 100  Tourism earned, gain 1  Diplomatic Favor. +100%  Diplomatic Favor gained from successfully completing Emergencies or Scored Competitions."
German,Each city can build one more specialty  District than the  Population limit would normally allow.
Polish,"Building an Encampment or Fort triggers a Culture Bomb, claiming surrounding tiles. One  Military policy slot in all governments is converted into a  Wildcard policy slot."
Khmer,"Cities with an Aqueduct receive +1  Amenity, and +1  Faith for every  Population. Farms receive +2  Food when adjacent to an Aqueduct, and +1  Faith when adjacent to a Holy Site."
French,"+20%  Production towards Medieval, Renaissance and Industrial Era Wonders. Double  Tourism from Wonders of any Era."
Indonesian,"Coast and Lake tiles provide a +5 adjacency bonus for Holy Site, Campus, Industrial Zone, and Theater Square districts. Entertainment Complexes built adjacent to a Coast or Lake tile provide +1  Amenity."
