leader,ability
Ramses II,"Receives  Culture equal to 15% of the  Production cost after completing a building, and 30% after completing a wonder."
Gilgamesh,"25%  Production increase when claiming Heroes, and Heroes have 20% more  Lifespan."
Victoria (Age of Steam),+10%  Production in cities for each Industrial Zone building in that city. +2  Production to all Strategic Resources.
Shaka,"May form Corps with Mercenaries, instead of Nationalism, and Armies with Nationalism, instead of Mobilization. Corps and Armies gain an additional +5  Combat Strength."
Teddy Roosevelt (Bull Moose),"Tiles with Breathtaking Appeal gain +2  Science when adjacent to a Natural Wonder or Mountain, and +2  Culture when adjacent to a Wonder or Woods. +1 Appeal in all tiles in cities with a National Park."
Cleopatra (Ptolemaic),"+1  Food and  Culture for resources on Floodplains. Owned Floodplains grant +1 Appeal to adjacent tiles, instead of the usual -1."
Chandragupta,"Can declare a War of Territorial Expansion with Military Training, instead of Mobilization. +2  Movement and +5  Combat Strength for all units for the next 10 turns after declaring a War of Territorial Expansion."
Tokugawa,"International  Trade Routes receive -25% yields and  Tourism, but domestic  Trade Routes gain +1  Culture, +1  Science, and +2  Gold for every specialty district at the destination. Cities within 6 tiles of Japan's  Capital are 100% loyal and, after researching Flight, gain +1  Tourism for every specialty district."
Robert the Bruce,"Can declare a War of Liberation with Defensive Tactics, instead of Diplomatic Service. +100%  Production and +2  Movement for all units for the next 10 turns after declaring a War of Liberation."
Simón Bolívar,"Entering a new era grants a Comandante General, a unique type of  Great Person."
Catherine de Medici (Black Queen),Gains +1 level of  Diplomatic Visibility with every encountered civilization. Receives a free Spy with Castles. All Spies start with a free promotion.
Catherine de Medici (Magnificence),"+2  Culture for improved Luxury resources adjacent to a Theater Square or Château. Cities with a Theater Square gain the unique Court Festival project, which upon completion grants  Culture and  Tourism based on the number of excess copies of the Luxury resources that France possesses."
John Curtin,+100%  Production if they have either received a declaration of war or liberated a city in the past 10 turns.
Menelik II,Ethiopian cities founded on Hills receive  Science and  Culture equal to 15% of their  Faith output. +4  Combat Strength for all units when fighting on hills.
